date,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,latitude,longitude
2010-07-01,24.4805,50675.184,620.63464,17.300001,30.404216766357422,-97.71127319335938
2010-07-01,16.553667,54131.227,49260.977,0.0,40.6678352355957,-80.56658935546875
2010-07-01,22.2165,54998.28,51202.664,0.0,42.776798248291016,-95.59170532226562
2010-07-01,21.291084,54159.035,50248.695,0.0,40.738136291503906,-73.14892578125
2010-07-01,21.795334,51722.004,48477.805,0.0,33.84885787963867,-117.9078369140625
2010-07-01,14.503918,55554.223,46712.008,0.0,44.042179107666016,-123.10029602050781
2010-07-01,20.445498,51677.395,48439.742,0.0,33.70825958251953,-117.8385009765625
2010-07-01,27.55441,49486.223,33261.625,37.399998,26.115991592407227,-80.4381103515625
2010-07-01,21.765917,54527.188,50313.215,0.0,41.65201950073242,-93.64163208007812
2010-07-01,19.912666,53536.84,49308.527,0.0,39.12126541137695,-84.5604248046875
2010-07-01,22.584831,53328.492,49795.047,0.0,38.55887222290039,-90.36685180664062
2010-07-01,26.302666,52271.4,47259.46,0.0,35.53602600097656,-97.5096435546875
2010-07-01,14.667666,56550.188,49322.363,1.8,46.15114212036133,-67.21337890625
2010-07-01,20.3675,51677.395,48439.742,0.0,33.70825958251953,-117.8385009765625
2010-07-01,21.03758,54186.914,50254.402,0.0,40.808433532714844,-73.125
2010-07-01,19.789831,55088.965,50572.117,0.0,42.98769760131836,-87.99407958984375
2010-07-01,18.777082,54412.562,49215.445,0.0,41.37082290649414,-82.62933349609375
2010-07-01,18.777334,54789.64,33660.508,0.0,42.28470993041992,-71.02490234375
2010-07-01,19.353247,54584.96,50400.3,0.0,41.79261779785156,-88.17391967773438
2010-07-01,18.843914,51391.53,48195.168,0.0,32.794376373291016,-117.17604064941406
2010-07-01,22.312834,51789.25,48535.133,0.0,34.05975341796875,-118.23750305175781
2010-07-01,19.489666,54613.965,50391.297,0.0,41.8629150390625,-87.7794189453125
2010-07-01,21.331331,54214.863,50290.84,0.0,40.87873458862305,-73.22900390625
2010-07-01,26.96242,53616.004,49360.094,0.0,39.33216094970703,-98.44137573242188
2010-07-01,21.432915,54131.227,50304.19,0.0,40.6678352355957,-73.42776489257812
2010-07-01,19.322584,51326.55,48139.4,0.0,32.58347702026367,-117.07673645019531
2010-07-01,22.408669,53406.156,49826.92,0.0,38.769771575927734,-90.36834716796875
2010-07-01,24.006086,51902.207,48631.277,0.0,34.41124725341797,-119.54716491699219
2010-07-01,26.718,51722.004,24753.63,0.0,33.84885787963867,-98.51806640625
2010-07-01,15.136834,53048.32,49186.227,0.0,37.785587310791016,-122.40963745117188
2010-07-01,20.358915,53802.992,50139.586,0.0,39.82425308227539,-89.74929809570312
2010-07-01,21.166498,54527.188,50182.754,0.0,41.65201950073242,-91.56069946289062
2010-07-01,25.584333,50492.5,122.44652,16.900002,29.771528244018555,-95.435546875
2010-07-01,18.445585,51677.395,48439.742,0.0,33.70825958251953,-118.28570556640625
2010-07-01,19.75733,55088.965,50572.117,0.0,42.98769760131836,-87.99407958984375
2010-07-01,14.404335,55908.74,46094.656,0.1,44.81546401977539,-73.4466552734375
2010-07-01,21.115582,54186.914,50254.402,0.0,40.808433532714844,-73.125
2010-07-01,26.519918,53510.58,49443.69,0.0,39.05096435546875,-108.51852416992188
2010-07-01,20.016836,53458.242,49495.086,0.0,38.91036605834961,-107.48291015625
2010-07-01,27.240915,50213.617,35126.418,23.099998,28.78734588623047,-81.87429809570312
2010-07-01,27.926249,50352.273,36075.58,11.299999,29.279436111450195,-81.08294677734375
2010-07-01,18.518917,51391.53,48195.168,0.0,32.794376373291016,-117.17604064941406
2010-07-01,20.332916,53802.992,50139.586,0.0,39.82425308227539,-89.74929809570312
2010-07-01,18.562248,54789.64,34094.547,0.0,42.28470993041992,-71.15667724609375
2010-07-01,36.372253,52701.73,48774.74,0.0,36.8014030456543,-114.12614440917969
2010-07-01,17.932917,54701.438,46463.09,0.0,42.07381057739258,-72.68222045898438
2010-07-01,27.573914,49486.223,33261.625,37.399998,26.115991592407227,-80.4381103515625
2010-07-01,33.404583,51219.043,46961.188,0.0,32.23198318481445,-110.81112670898438
2010-07-01,14.6831665,52948.184,49190.086,0.0,37.504390716552734,-122.23701477050781
2010-07-01,24.534332,50716.152,622.06165,17.300001,30.544815063476562,-97.62353515625
2010-07-01,20.163584,54584.96,50348.703,0.0,41.79261779785156,-87.65219116210938
2010-07-01,22.741585,53354.316,49776.26,0.0,38.629173278808594,-90.48980712890625
2010-07-01,24.62525,50736.69,1851.9839,23.7,30.6151123046875,-97.63250732421875
2010-07-01,20.664333,51834.3,48573.496,0.0,34.20035171508789,-118.98495483398438
2010-07-01,24.743416,50634.35,0.0,19.2,30.26361846923828,-97.79861450195312
2010-07-01,26.963501,51478.742,34322.043,1.4000001,33.07556915283203,-96.74447631835938
2010-07-01,21.184834,54242.883,50173.523,0.0,40.949031829833984,-72.69229125976562
2010-07-01,20.31342,53776.082,50158.445,0.0,39.75395202636719,-89.62448120117188
2010-07-01,28.221834,49430.49,38554.145,9.5,25.90509605407715,-80.27291870117188
2010-07-01,18.699331,54789.64,33660.508,0.0,42.28470993041992,-71.02490234375
2010-07-01,23.258581,51902.207,48631.277,0.0,34.41124725341797,-119.54716491699219
2010-07-01,20.50067,54327.39,49265.984,0.0,41.15992736816406,-73.26181030273438
2010-07-01,27.560913,49486.223,33261.625,37.399998,26.115991592407227,-80.4381103515625
2010-07-01,24.375498,50392.18,0.0,22.3,29.420034408569336,-98.52194213867188
2010-07-01,15.091335,53048.32,49227.344,0.0,37.785587310791016,-122.40963745117188
2010-07-01,16.26275,54998.28,47955.85,0.0,42.776798248291016,-73.89053344726562
2010-07-01,26.335337,51304.97,24018.363,1.5,32.513179779052734,-94.8175048828125
2010-07-01,17.423582,51699.676,48458.766,0.0,33.77855682373047,-118.32089233398438
2010-07-01,22.310251,51766.79,48515.992,0.0,33.98945236206055,-117.97752380371094
2010-07-01,25.2685,50881.44,0.0,21.400002,31.10720443725586,-97.37530517578125
2010-07-01,19.802832,55088.965,50572.117,0.0,42.98769760131836,-87.99407958984375
